               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                 316,            0.022271,           0.0033885,          0.00060045,             0.81461,             0.74581,             0.81075,             0.48117,            0.038395,           0.0050453,           0.0055897,           0.0008515,           0.0008515,           0.0008515,             0.47612,             0.56437,             0.34846,             0.28944,             0.50171,             0.61591,             0.57219,             0.84025,             0.94681,             0.75231,             0.65459,             0.80412,              0.8539,             0.82328
                 317,            0.021555,            0.003716,          0.00049539,             0.83235,             0.73081,             0.80828,              0.4785,            0.038378,           0.0050753,           0.0055897,           0.0008416,           0.0008416,           0.0008416,             0.47567,             0.55185,             0.35184,             0.26194,             0.50683,             0.62482,             0.57657,             0.83481,             0.94676,              0.7474,             0.64107,             0.80668,              0.8581,             0.82313
                 318,            0.023112,           0.0040741,          0.00044314,             0.83699,             0.72387,             0.80607,             0.47477,            0.038569,           0.0051186,           0.0056142,           0.0008317,           0.0008317,           0.0008317,             0.47335,             0.54982,             0.35835,             0.26794,             0.49525,             0.60787,             0.57079,             0.83924,              0.9472,             0.74135,             0.63125,              0.8049,             0.85735,             0.82119
                 319,            0.022236,           0.0037333,          0.00053801,              0.7962,              0.7585,             0.80625,              0.4762,            0.038654,           0.0051077,           0.0056994,           0.0008218,           0.0008218,           0.0008218,             0.47311,             0.55268,             0.34695,             0.26619,             0.50035,             0.61273,             0.58136,             0.83713,             0.94626,             0.74223,             0.63334,             0.80858,             0.85436,             0.82184
                 320,            0.022569,            0.003938,          0.00039978,             0.77699,             0.76845,              0.8044,             0.47659,            0.038531,           0.0051188,           0.0056332,           0.0008119,           0.0008119,           0.0008119,             0.47233,             0.55807,             0.34346,             0.26859,             0.49857,             0.61631,              0.5788,               0.829,             0.94354,             0.73374,             0.64479,             0.80553,             0.85152,             0.82265
                 321,            0.022403,           0.0037837,          0.00044413,             0.81173,             0.74161,             0.80522,             0.47503,            0.038662,           0.0050819,           0.0056286,            0.000802,            0.000802,            0.000802,             0.47632,              0.5512,             0.34712,             0.25613,             0.49885,             0.62151,             0.57406,             0.83891,             0.94777,             0.73316,             0.64399,             0.79321,              0.8533,             0.82618
                 322,            0.022742,            0.003782,           0.0005222,             0.82684,             0.72451,             0.80458,             0.47787,            0.038567,           0.0050846,            0.005656,           0.0007921,           0.0007921,           0.0007921,             0.47562,             0.55622,             0.35112,              0.2699,             0.50121,             0.61603,             0.57497,             0.84006,             0.94906,             0.73645,             0.64475,             0.78767,             0.84945,             0.82464
                 323,            0.022934,           0.0039297,          0.00047158,             0.79283,              0.7526,             0.80633,             0.47719,             0.03849,           0.0050734,           0.0055666,           0.0007822,           0.0007822,           0.0007822,              0.4757,             0.54993,             0.35139,             0.26894,             0.50306,             0.62433,             0.56697,             0.83935,             0.94653,             0.73988,             0.64779,             0.78842,             0.85548,             0.82684
                 324,            0.022344,           0.0038886,          0.00045128,             0.80463,             0.75397,             0.80869,              0.4793,            0.038435,            0.005068,           0.0055242,           0.0007723,           0.0007723,           0.0007723,             0.47871,             0.55577,              0.3502,             0.26468,             0.50568,             0.62304,             0.57703,             0.84152,             0.94773,             0.74944,             0.64869,              0.7939,             0.85302,             0.82655
                 325,            0.022367,            0.003776,          0.00043928,             0.80758,             0.75632,             0.81004,             0.48029,            0.038381,           0.0050739,           0.0055274,           0.0007624,           0.0007624,           0.0007624,             0.48105,             0.54434,             0.35586,             0.27114,             0.50637,             0.62902,             0.57429,              0.8444,             0.94491,             0.75221,             0.64204,              0.7974,             0.85563,             0.83368
