               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                  17,            0.044579,           0.0067274,            0.007471,             0.79866,             0.66782,             0.72496,             0.35653,            0.042827,           0.0049974,           0.0085683,            0.009472,            0.009472,            0.009472,             0.41084,             0.52906,             0.25742,             0.24633,                0.37,             0.32317,             0.35889,             0.79585,             0.95802,             0.62328,              0.5827,              0.7049,              0.6805,             0.72947
                  18,            0.045627,           0.0071768,            0.006812,             0.67409,             0.61224,             0.65084,              0.3461,            0.043016,           0.0050371,           0.0085526,            0.009439,            0.009439,            0.009439,             0.42214,             0.47087,             0.25086,             0.15811,             0.29815,             0.34181,             0.48076,             0.78539,             0.92471,             0.60874,             0.37976,             0.56871,             0.54297,             0.74559
                  19,            0.043984,           0.0065249,           0.0066276,              0.8077,             0.67822,             0.74317,             0.37715,            0.041618,           0.0048105,           0.0083293,            0.009406,            0.009406,            0.009406,             0.42571,             0.52389,             0.30792,             0.21781,             0.36015,             0.36457,             0.43998,             0.81652,             0.94052,             0.70122,             0.53229,             0.73942,             0.74411,             0.72813
                  20,            0.043159,            0.006631,           0.0061736,             0.76795,             0.67856,             0.71299,              0.3562,            0.046192,           0.0047718,           0.0081697,            0.009373,            0.009373,            0.009373,             0.30365,             0.29948,             0.28235,             0.24646,             0.36171,             0.52222,             0.47756,              0.7359,             0.82016,             0.68958,             0.52316,             0.65295,             0.81412,             0.75507
                  21,            0.042974,           0.0063233,           0.0055058,             0.72582,             0.67564,             0.70882,             0.35454,            0.044574,           0.0047955,           0.0075756,             0.00934,             0.00934,             0.00934,             0.40602,             0.39246,             0.25079,             0.23421,             0.37467,             0.41053,             0.41311,             0.78086,             0.74589,             0.64656,             0.53373,             0.68315,             0.79723,             0.77434
                  22,            0.042609,             0.00619,           0.0056943,             0.75668,              0.6978,                0.73,             0.38602,            0.042966,           0.0049051,           0.0076981,            0.009307,            0.009307,            0.009307,             0.39554,             0.40365,             0.23718,             0.24602,             0.38521,             0.52926,              0.5053,             0.76089,             0.90955,              0.6007,             0.56041,             0.66822,             0.82715,             0.78305
                  23,            0.042113,            0.006472,           0.0052041,             0.74528,             0.73099,             0.76085,             0.38252,            0.042381,           0.0047592,           0.0072361,            0.009274,            0.009274,            0.009274,             0.41876,             0.52797,             0.29763,             0.18071,             0.34258,             0.40667,             0.50331,             0.79284,             0.95206,              0.7011,             0.59711,             0.68747,             0.80151,             0.79388
                  24,            0.041513,           0.0063145,           0.0047634,             0.78512,             0.67591,             0.74363,             0.38216,            0.043974,           0.0047073,           0.0068887,            0.009241,            0.009241,            0.009241,             0.38327,             0.38366,              0.2549,             0.28345,             0.32549,             0.54416,             0.50016,             0.80245,             0.87597,             0.66403,              0.5724,             0.70475,              0.8153,             0.77053
                  25,            0.041203,           0.0061665,           0.0047967,             0.75845,             0.67742,             0.71943,             0.39171,            0.041223,           0.0048639,           0.0075985,            0.009208,            0.009208,            0.009208,             0.41836,             0.53707,             0.28242,             0.23659,             0.39022,             0.45972,             0.41755,             0.78333,             0.94439,              0.6915,             0.47632,              0.7335,             0.73712,             0.66987
                  26,            0.040126,           0.0059556,           0.0045788,             0.74201,             0.70732,             0.73264,             0.37184,            0.044685,           0.0047199,           0.0073737,            0.009175,            0.009175,            0.009175,             0.37788,             0.28793,             0.26063,             0.29074,             0.43473,             0.48531,             0.46565,             0.79642,             0.80257,             0.65239,             0.65408,             0.69834,             0.77792,             0.74674
                  27,            0.040412,           0.0058233,           0.0047736,             0.77234,             0.73314,             0.76168,             0.41012,            0.040844,           0.0046976,           0.0069731,            0.009142,            0.009142,            0.009142,             0.41822,             0.53977,             0.30652,             0.31602,             0.36127,             0.50043,             0.42864,             0.80868,             0.94951,             0.67662,              0.6344,             0.67188,             0.81967,             0.77099
