               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                   0,             0.11303,           0.0077644,            0.059901,           0.0034875,             0.16348,           0.0031072,          0.00070544,            0.096924,           0.0071507,            0.053598,              0.0757,              0.0027,              0.0027,           0.0025347,           0.0015976,                   0,          8.8687e-05,          0.00039581,          0.00011422,          0.00020704,            0.010682,           0.0078221,                   0,          0.00046037,           0.0016034,          0.00061282,          0.00056955
                   1,            0.089394,            0.010658,             0.04637,            0.006811,             0.19104,           0.0061058,           0.0014235,            0.080844,           0.0082291,            0.045555,            0.050482,           0.0054818,           0.0054818,           0.0043755,           0.0010482,             0.00147,          0.00038748,           0.0012118,          0.00010074,           0.0013707,             0.01679,           0.0064906,           0.0065892,           0.0016399,           0.0041464,           0.0010074,           0.0060775
                   2,            0.076321,            0.011088,            0.041437,            0.018869,             0.32814,            0.039179,            0.011317,            0.074243,           0.0077271,             0.03834,            0.025245,           0.0082452,           0.0082452,            0.021151,            0.027829,            0.015096,          0.00051356,            0.009021,           0.0012157,           0.0043952,            0.075651,             0.10369,            0.050519,           0.0026964,            0.020382,           0.0060784,             0.01524
                   3,            0.070166,            0.011382,            0.036456,             0.65614,             0.11552,             0.10945,            0.037571,            0.064959,            0.008215,            0.032475,            0.009901,            0.009901,            0.009901,            0.029356,             0.15758,             0.02334,           0.0073568,            0.013299,            0.014466,            0.017598,             0.09536,             0.42442,            0.083912,            0.019047,            0.049118,             0.05667,            0.037593
                   4,            0.064682,             0.01184,            0.031269,             0.64626,             0.10607,             0.11488,            0.038177,            0.065057,           0.0077915,            0.027362,            0.009901,            0.009901,            0.009901,            0.031099,            0.094919,            0.034996,            0.020554,            0.016703,            0.057777,            0.011193,            0.096821,             0.36852,              0.1157,            0.046665,            0.042275,              0.1077,            0.026465
                   5,            0.060986,            0.010845,            0.028489,             0.80815,              0.1533,             0.20523,            0.073341,            0.057744,           0.0079773,            0.023908,            0.009868,            0.009868,            0.009868,            0.081718,             0.24804,            0.082663,            0.018491,            0.013783,            0.046882,            0.021811,             0.22878,             0.66825,              0.2913,            0.043369,             0.03583,             0.11998,            0.049083
                   6,            0.058312,            0.011479,            0.024001,             0.65253,              0.1826,             0.23761,             0.10226,            0.055109,             0.00779,            0.022021,            0.009835,            0.009835,            0.009835,            0.099988,             0.36038,             0.12414,            0.014783,             0.02386,            0.066294,            0.026357,             0.27607,             0.77243,             0.35306,            0.047794,            0.052194,             0.11439,            0.047331
                   7,            0.057638,            0.010329,            0.022616,             0.69332,             0.22631,              0.2749,             0.11745,            0.050986,           0.0074041,            0.019487,            0.009802,            0.009802,            0.009802,              0.2212,             0.34506,             0.10251,            0.036308,            0.037217,            0.036181,            0.043684,             0.50672,             0.79374,             0.29948,             0.10354,            0.075449,            0.069282,            0.076053
                   8,             0.05516,            0.010183,            0.020236,             0.79267,             0.21191,             0.29317,             0.12732,            0.055564,           0.0066284,            0.018221,            0.009769,            0.009769,            0.009769,              0.1832,             0.34607,             0.12462,            0.057361,            0.071997,            0.039337,            0.068693,             0.48171,             0.73758,             0.35101,             0.13749,             0.15839,            0.060047,             0.12593
                   9,            0.054959,           0.0091022,            0.018457,             0.84949,             0.25418,             0.38078,             0.16936,            0.049338,            0.006571,            0.016313,            0.009736,            0.009736,            0.009736,             0.23027,             0.39561,             0.19893,            0.069422,             0.13821,            0.041731,             0.11134,             0.56196,              0.8097,             0.55587,             0.17866,             0.27445,            0.082962,             0.20189
                  10,            0.052271,            0.008547,            0.017144,             0.49155,             0.45408,             0.44025,              0.2047,            0.051392,           0.0062567,            0.014934,            0.009703,            0.009703,            0.009703,              0.1923,             0.41737,             0.23085,             0.12901,             0.16929,             0.12609,             0.16799,             0.51992,             0.84346,             0.56476,             0.29954,             0.38521,             0.18335,             0.28552
                  11,            0.052918,           0.0086579,            0.015632,             0.40544,             0.48098,             0.46858,             0.22371,            0.049196,           0.0059793,            0.014259,             0.00967,             0.00967,             0.00967,              0.2792,             0.49855,             0.14595,             0.15702,             0.16273,               0.131,             0.19151,             0.62496,             0.92117,               0.479,             0.35623,             0.38351,             0.19439,             0.32077
                  12,            0.051695,           0.0079806,            0.015037,             0.40081,             0.53143,              0.4426,             0.19688,            0.049556,           0.0057629,            0.013895,            0.009637,            0.009637,            0.009637,             0.23961,             0.30374,             0.19493,             0.15467,             0.22077,             0.08341,             0.18102,             0.57596,             0.74185,             0.50776,              0.3539,             0.40625,             0.17376,             0.33877
                  13,            0.050848,           0.0077531,            0.013098,               0.439,             0.53642,             0.51051,              0.2469,            0.046521,           0.0056503,            0.011826,            0.009604,            0.009604,            0.009604,             0.32717,             0.46854,             0.24698,             0.11992,             0.23387,             0.10229,             0.22954,             0.70492,             0.87168,             0.60948,             0.33312,             0.46867,             0.20432,              0.3814
                  14,            0.050399,           0.0079828,            0.012634,             0.43103,             0.56463,             0.48608,             0.20926,            0.049334,           0.0054903,            0.011477,            0.009571,            0.009571,            0.009571,             0.28818,             0.19771,             0.18793,             0.15565,             0.30156,             0.15563,             0.17813,             0.69095,             0.58039,             0.56958,             0.38818,             0.59451,             0.25694,             0.32199
                  15,            0.049791,           0.0076797,            0.010836,             0.56482,             0.56463,             0.55962,             0.27254,            0.045077,           0.0054251,              0.0103,            0.009538,            0.009538,            0.009538,             0.31766,             0.53061,             0.26791,             0.17023,             0.22507,             0.17002,             0.22625,             0.69653,             0.92452,             0.65336,             0.44131,             0.55483,             0.28822,             0.35856
                  16,            0.048494,           0.0067593,            0.011071,             0.61806,             0.49061,             0.56602,             0.26668,            0.051182,            0.005312,             0.01069,            0.009505,            0.009505,            0.009505,             0.16952,             0.44991,             0.22458,              0.1813,             0.30237,             0.20625,             0.33287,             0.51399,             0.90087,             0.62173,             0.41222,             0.61788,              0.3221,             0.57331
                  17,            0.048368,            0.007277,           0.0098717,             0.62919,              0.5812,             0.62785,             0.31062,            0.045691,            0.005361,            0.010051,            0.009472,            0.009472,            0.009472,             0.33548,             0.53597,              0.2802,             0.18413,             0.29463,             0.30348,             0.24047,              0.7046,             0.93431,             0.68826,             0.42352,             0.57064,             0.45005,             0.62356
                  18,             0.04963,           0.0078094,           0.0096827,             0.61707,              0.5859,             0.60768,             0.29896,            0.046053,           0.0053671,           0.0099976,            0.009439,            0.009439,            0.009439,              0.3433,             0.40072,             0.17334,             0.15097,              0.3317,             0.32122,             0.37144,             0.70962,             0.88669,             0.47787,             0.37283,             0.67951,             0.52879,             0.59843
                  19,            0.047785,             0.00717,           0.0091236,             0.63252,             0.57262,             0.62325,             0.30966,            0.045111,           0.0052916,           0.0091327,            0.009406,            0.009406,            0.009406,             0.36519,             0.49207,             0.26471,             0.13395,              0.2689,             0.23642,             0.40642,             0.73137,             0.91391,              0.6434,             0.35516,             0.56841,             0.47278,             0.67774
                  20,            0.047062,           0.0072635,           0.0081743,             0.66461,             0.59977,             0.64256,             0.31319,            0.047509,           0.0050861,           0.0086507,            0.009373,            0.009373,            0.009373,             0.28981,             0.37955,              0.2532,             0.22018,             0.34465,             0.28948,             0.41548,             0.71045,             0.87615,             0.61151,             0.45769,             0.61554,             0.55062,             0.67593
                  21,             0.04696,           0.0069751,           0.0072911,             0.70281,             0.60111,             0.64432,             0.31007,            0.045657,           0.0050356,           0.0082185,             0.00934,             0.00934,             0.00934,             0.38379,             0.46491,             0.25866,             0.18136,             0.29339,             0.32514,             0.26321,             0.74903,             0.86172,             0.63748,             0.43179,              0.6697,             0.56819,             0.59235
                  22,            0.046705,           0.0067913,           0.0073279,              0.7374,             0.60931,             0.65316,             0.32632,            0.046591,           0.0050608,           0.0081374,            0.009307,            0.009307,            0.009307,             0.35593,             0.42367,             0.17315,             0.15309,             0.35691,              0.4151,             0.40637,             0.77803,             0.92332,             0.49954,             0.37047,             0.69526,             0.61031,             0.69518
                  23,            0.046413,           0.0070989,           0.0064001,             0.66924,             0.66423,             0.67127,             0.33327,            0.044322,           0.0050579,           0.0077889,            0.009274,            0.009274,            0.009274,             0.39434,             0.51143,             0.24338,             0.18312,             0.31056,             0.38732,             0.30276,             0.78242,             0.93135,             0.63233,             0.44923,             0.63981,             0.62216,             0.64161
                  24,            0.045723,           0.0069978,            0.006308,             0.66188,             0.62307,             0.65672,             0.29852,            0.047844,           0.0049875,           0.0076657,            0.009241,            0.009241,            0.009241,             0.32377,              0.3284,             0.21285,             0.20249,             0.31227,             0.36963,             0.34027,             0.74386,             0.85836,             0.55592,             0.49413,             0.66362,             0.60801,              0.6731
                  25,            0.045009,           0.0068227,           0.0064009,             0.71811,             0.64684,             0.68989,             0.36965,            0.043418,           0.0051104,           0.0077033,            0.009208,            0.009208,            0.009208,             0.39544,             0.51543,             0.21355,             0.18857,             0.38839,             0.46305,             0.42314,             0.76643,             0.91885,             0.60573,             0.40982,             0.70788,             0.71421,             0.70635
                  26,            0.043664,           0.0066211,           0.0058531,             0.75023,             0.63307,             0.70476,             0.35397,            0.047163,           0.0048977,           0.0070287,            0.009175,            0.009175,            0.009175,             0.36595,             0.31187,             0.25348,             0.18626,             0.37446,             0.49406,             0.49169,             0.77201,             0.85353,             0.63735,             0.46233,             0.70016,             0.73327,             0.77471
                  27,            0.045224,           0.0064257,           0.0058723,             0.79345,             0.64809,             0.70811,             0.35632,            0.043776,             0.00502,           0.0072388,            0.009142,            0.009142,            0.009142,             0.39164,             0.51578,             0.28146,             0.19392,             0.30968,             0.37894,             0.42285,             0.78117,             0.92526,             0.68541,             0.43736,             0.64371,             0.72343,             0.76041
                  28,            0.044454,           0.0067924,           0.0054868,             0.74247,             0.64613,             0.70644,             0.35549,            0.045178,           0.0051273,            0.007592,            0.009109,            0.009109,            0.009109,             0.30948,             0.47938,             0.29468,             0.22697,             0.32801,             0.42625,              0.4237,             0.74939,             0.89875,              0.6834,             0.51657,             0.67255,             0.72367,             0.70074
                  29,            0.042794,           0.0066871,           0.0052142,             0.74083,             0.66633,             0.71799,              0.3435,            0.044914,           0.0049934,           0.0074468,            0.009076,            0.009076,            0.009076,             0.33427,             0.52688,             0.26663,             0.18219,             0.31262,             0.38888,             0.39305,             0.73864,             0.93636,             0.67212,             0.43685,             0.65827,             0.78308,             0.80058
