               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                  17,            0.041306,           0.0062785,           0.0056815,             0.79227,             0.70817,             0.77667,             0.40373,            0.042132,            0.004735,           0.0068152,            0.009472,            0.009472,            0.009472,             0.41725,             0.49425,             0.27241,             0.26114,             0.33923,             0.56022,             0.48163,             0.81239,             0.93383,             0.67966,             0.61614,             0.70902,             0.84359,             0.84207
                  18,             0.04253,           0.0067923,           0.0052047,             0.66685,             0.70838,             0.70679,             0.35853,            0.042315,           0.0047298,           0.0068154,            0.009439,            0.009439,            0.009439,             0.44712,             0.55012,             0.19258,             0.22251,             0.37675,             0.34969,             0.37096,             0.81951,             0.94175,             0.50769,              0.5431,             0.67777,             0.71955,             0.73818
                  19,            0.041329,           0.0060677,            0.004987,             0.68496,              0.6878,             0.72282,             0.36759,            0.042566,           0.0046242,           0.0070873,            0.009406,            0.009406,            0.009406,             0.40981,             0.55449,             0.28363,             0.25278,             0.24035,             0.37373,             0.45833,             0.80671,             0.94976,              0.6955,             0.53866,             0.58741,             0.67901,             0.80269
                  20,            0.040922,           0.0061638,           0.0050165,             0.77367,              0.6891,             0.75539,             0.42724,             0.04234,           0.0046705,            0.006876,            0.009373,            0.009373,            0.009373,             0.37664,              0.5288,             0.29526,             0.28438,              0.4396,             0.57014,              0.4959,             0.77078,              0.9102,              0.7198,             0.57022,             0.71002,             0.83553,             0.77117
                  21,            0.040181,           0.0060176,           0.0045634,             0.74397,             0.71425,             0.72529,             0.40327,            0.041627,           0.0046785,           0.0065412,             0.00934,             0.00934,             0.00934,             0.43775,              0.4541,             0.29007,             0.23864,              0.3869,             0.55482,             0.46062,             0.82656,              0.8364,             0.66605,             0.46205,             0.68169,             0.82304,             0.78126
                  22,            0.039723,           0.0058809,           0.0047229,             0.74871,             0.71222,             0.74098,             0.40917,             0.04089,           0.0046682,           0.0067161,            0.009307,            0.009307,            0.009307,             0.45184,             0.47214,             0.22365,             0.25757,              0.3893,             0.60502,             0.46468,             0.83201,             0.88815,             0.61121,             0.60816,             0.64293,             0.85477,             0.74966
                  23,             0.03972,           0.0060136,           0.0044076,             0.78706,             0.72747,             0.75479,             0.41499,            0.040334,           0.0045908,           0.0065889,            0.009274,            0.009274,            0.009274,             0.46057,             0.48311,             0.31047,             0.24356,             0.42139,             0.56258,             0.42328,             0.84128,             0.93156,             0.69193,             0.57933,             0.69617,             0.82257,              0.7207
                  24,            0.038768,           0.0059594,           0.0040518,             0.73495,              0.7231,             0.73797,             0.40213,            0.043802,           0.0046097,           0.0064534,            0.009241,            0.009241,            0.009241,             0.41126,             0.45105,             0.24939,             0.26951,             0.39639,             0.58416,             0.45314,             0.81868,             0.89247,             0.64417,             0.52832,             0.71122,             0.78204,             0.78888
                  25,            0.039823,           0.0057006,           0.0040201,             0.81153,             0.72541,             0.76534,             0.40103,            0.040808,            0.004612,            0.006232,            0.009208,            0.009208,            0.009208,             0.43852,             0.55553,             0.28239,             0.20167,             0.39814,             0.45942,             0.47157,             0.84633,             0.94485,             0.68768,              0.5457,             0.71106,             0.84042,             0.78136
                  26,            0.038605,           0.0056032,           0.0037874,             0.76522,             0.71977,             0.75624,             0.41653,            0.042352,           0.0045973,           0.0062488,            0.009175,            0.009175,            0.009175,             0.43466,             0.38879,             0.28147,             0.24821,             0.46501,             0.54937,             0.54821,             0.84307,             0.87854,             0.68665,             0.54189,             0.72746,             0.82213,             0.79395
                  27,              0.0388,           0.0054438,           0.0040372,             0.78906,              0.7315,             0.76719,             0.42428,            0.039383,           0.0046585,           0.0059779,            0.009142,            0.009142,            0.009142,             0.45265,             0.57548,             0.31246,             0.26621,             0.38229,               0.487,              0.4939,             0.84468,             0.95209,             0.70486,              0.5617,             0.69274,             0.84873,             0.76551
