               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                   0,             0.11309,            0.073458,            0.059828,           0.0059207,             0.30976,           0.0088855,            0.001987,            0.097562,            0.060276,             0.05421,              0.0757,              0.0027,              0.0027,           0.0062866,           0.0033966,          0.00077925,          0.00063598,           0.0012606,          0.00099086,          0.00055894,            0.029221,            0.017136,           0.0026475,           0.0023615,           0.0052579,           0.0039667,           0.0016083
                   1,            0.090782,            0.079197,            0.046379,            0.025133,             0.31614,             0.02935,           0.0076749,             0.09197,            0.095106,             0.04998,            0.050482,           0.0054818,           0.0054818,            0.015207,            0.010441,            0.005636,            0.001747,           0.0041334,           0.0065432,            0.010017,            0.058029,            0.044265,            0.026925,           0.0055155,            0.013534,            0.020838,            0.036342
                   2,            0.078448,            0.069209,            0.042809,              0.5348,             0.16801,            0.081031,            0.022785,            0.085888,            0.070715,            0.041571,            0.025245,           0.0082452,           0.0082452,            0.041129,             0.05228,            0.037521,           0.0010718,           0.0067694,            0.016068,            0.004659,             0.15148,             0.17444,             0.15947,           0.0043207,            0.025907,            0.035203,            0.016405
                   3,            0.077087,             0.06685,            0.038647,             0.38294,             0.19174,             0.10682,            0.029114,            0.080016,            0.059223,            0.036883,            0.009901,            0.009901,            0.009901,            0.032528,             0.06767,            0.021607,           0.0043084,            0.011708,            0.038432,            0.027549,             0.12126,             0.29856,              0.1062,            0.013153,            0.026213,            0.093166,            0.089179
                   4,            0.070879,            0.068919,             0.03496,             0.67704,             0.19777,              0.1405,            0.044777,            0.068853,            0.053753,            0.032343,            0.009901,            0.009901,            0.009901,            0.080845,            0.091474,            0.072979,           0.0084684,            0.026741,            0.021271,            0.011658,              0.2515,             0.26715,             0.24061,             0.03049,            0.083341,            0.066106,            0.044312
                   5,             0.06482,            0.062757,            0.032737,             0.69009,             0.22343,             0.16035,            0.059189,            0.064376,             0.05118,            0.028392,            0.009868,            0.009868,            0.009868,             0.12835,             0.11313,            0.056897,           0.0088353,            0.043329,            0.036698,             0.02708,             0.32405,             0.29587,             0.22025,            0.026043,             0.10397,            0.091671,            0.060582
                   6,            0.060424,            0.068333,            0.027574,             0.78773,             0.22908,             0.28565,             0.11429,            0.056946,            0.052717,             0.02451,            0.009835,            0.009835,            0.009835,             0.14449,             0.34836,             0.11164,            0.025027,            0.077874,            0.032142,            0.060514,             0.42011,              0.7998,             0.36022,            0.082822,             0.17347,            0.059412,             0.10368
                   7,            0.059619,            0.063013,            0.025925,             0.32761,             0.40429,             0.23991,             0.09549,            0.062112,            0.047144,            0.022255,            0.009802,            0.009802,            0.009802,             0.14607,             0.15334,             0.11023,            0.041759,              0.0828,             0.06625,             0.06799,             0.41768,             0.39799,             0.33937,             0.11808,             0.18077,             0.10747,               0.118
                   8,            0.057393,            0.066286,             0.02378,             0.27504,             0.42287,             0.33655,             0.13892,            0.053726,            0.048544,            0.021756,            0.009769,            0.009769,            0.009769,             0.23554,             0.33679,             0.12295,            0.036675,            0.095301,            0.045322,            0.099861,             0.59627,              0.7035,             0.44378,             0.10555,              0.2411,             0.09084,             0.17479
                   9,            0.056069,            0.061208,            0.021867,             0.24484,             0.43478,             0.32982,             0.13467,            0.054957,            0.049351,            0.020182,            0.009736,            0.009736,            0.009736,             0.21608,             0.13269,             0.14858,            0.040678,             0.17441,            0.086057,             0.14417,              0.5843,               0.443,             0.45466,             0.10192,             0.35341,             0.15136,             0.22008
